model_label,checkpoint_step,seed,episodes,combined_efficiency_mean,combined_efficiency_var,combined_efficiency_mean_var,traffic_efficiency_mean,traffic_efficiency_var,traffic_efficiency_mean_var,progress_auc_mean,progress_auc_var,progress_auc_mean_var,route_speed_efficiency_mean,route_speed_efficiency_var,route_speed_efficiency_mean_var,episode_reward_mean,episode_reward_var,episode_reward_mean_var,route_completion_mean,route_completion_var,route_completion_mean_var,route_progress_m_mean,route_progress_m_var,route_progress_m_mean_var,ego_route_distance_m_mean,ego_route_distance_m_var,ego_route_distance_m_mean_var,elapsed_steps_mean,elapsed_steps_var,elapsed_steps_mean_var,elapsed_time_s_mean,elapsed_time_s_var,elapsed_time_s_mean_var,mean_speed_mean,mean_speed_var,mean_speed_mean_var,max_speed_mean,max_speed_var,max_speed_mean_var,min_speed_mean,min_speed_var,min_speed_mean_var,low_speed_ratio_mean,low_speed_ratio_var,low_speed_ratio_mean_var,front_slow_steps_mean,front_slow_steps_var,front_slow_steps_mean_var,front_slow_ratio_mean,front_slow_ratio_var,front_slow_ratio_mean_var,safe_lane_change_opportunity_steps_mean,safe_lane_change_opportunity_steps_var,safe_lane_change_opportunity_steps_mean_var,safe_lane_change_opportunity_ratio_mean,safe_lane_change_opportunity_ratio_var,safe_lane_change_opportunity_ratio_mean_var,ego_lane_change_action_steps_mean,ego_lane_change_action_steps_var,ego_lane_change_action_steps_mean_var,ego_lane_change_action_ratio_mean,ego_lane_change_action_ratio_var,ego_lane_change_action_ratio_mean_var,ego_lane_change_success_steps_mean,ego_lane_change_success_steps_var,ego_lane_change_success_steps_mean_var,ego_overtake_success_steps_mean,ego_overtake_success_steps_var,ego_overtake_success_steps_mean_var,ego_crash_mean,ego_crash_var,ego_crash_mean_var,crash_mean,crash_var,crash_mean_var,agents_crash_mean,agents_crash_var,agents_crash_mean_var,front_slow_flag_mean,front_slow_flag_var,front_slow_flag_mean_var,safe_lane_change_opportunity_flag_mean,safe_lane_change_opportunity_flag_var,safe_lane_change_opportunity_flag_mean_var,ego_lane_change_action_flag_mean,ego_lane_change_action_flag_var,ego_lane_change_action_flag_mean_var,ego_lane_change_success_flag_mean,ego_lane_change_success_flag_var,ego_lane_change_success_flag_mean_var,ego_overtake_success_flag_mean,ego_overtake_success_flag_var,ego_overtake_success_flag_mean_var
Ego-37302098399721,37302098399721,101,1,0.3786889401845298,0.0,0.3787 ± 0.0000,0.3786889401845298,0.0,0.3787 ± 0.0000,0.28461117523066226,0.0,0.2846 ± 0.0000,15.249509480845308,0.0,15.2495 ± 0.0000,144.75410728898163,0.0,144.7541 ± 0.0000,0.7701772465073387,0.0,0.7702 ± 0.0000,152.49509480845308,0.0,152.4951 ± 0.0000,152.49509480845308,0.0,152.4951 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,12.519761941017187,0.0,12.5198 ± 0.0000,22.193377834279,0.0,22.1934 ± 0.0000,0.07813348459817757,0.0,0.0781 ± 0.0000,0.245,0.0,0.2450 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,39.0,0.0,39.0000 ± 0.0000,0.195,0.0,0.1950 ± 0.0000,130.0,0.0,130.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,102,1,0.37453529289921933,0.0,0.3745 ± 0.0000,0.37453529289921933,0.0,0.3745 ± 0.0000,0.2806691161240241,0.0,0.2807 ± 0.0000,15.133933301060557,0.0,15.1339 ± 0.0000,160.92278253950496,0.0,160.9228 ± 0.0000,0.764340065710129,0.0,0.7643 ± 0.0000,151.33933301060557,0.0,151.3393 ± 0.0000,151.33933301060557,0.0,151.3393 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,9.554817895182307,0.0,9.5548 ± 0.0000,22.192735154975026,0.0,22.1927 ± 0.0000,0.07813307081597513,0.0,0.0781 ± 0.0000,0.25,0.0,0.2500 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,40.0,0.0,40.0000 ± 0.0000,0.2,0.0,0.2000 ± 0.0000,129.0,0.0,129.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,103,1,0.37861258477853266,0.0,0.3786 ± 0.0000,0.37861258477853266,0.0,0.3786 ± 0.0000,0.28451573097316574,0.0,0.2845 ± 0.0000,15.24549895312255,0.0,15.2455 ± 0.0000,148.2467090539457,0.0,148.2467 ± 0.0000,0.7699746946021488,0.0,0.7700 ± 0.0000,152.4549895312255,0.0,152.4550 ± 0.0000,152.4549895312255,0.0,152.4550 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,12.625967201469631,0.0,12.6260 ± 0.0000,22.19329023338409,0.0,22.1933 ± 0.0000,0.07813367105179012,0.0,0.0781 ± 0.0000,0.245,0.0,0.2450 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,40.0,0.0,40.0000 ± 0.0000,0.2,0.0,0.2000 ± 0.0000,129.0,0.0,129.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,104,1,0.17436305793252083,0.0,0.1744 ± 0.0000,0.17436305793252083,0.0,0.1744 ± 0.0000,0.11918839031688558,0.0,0.1192 ± 0.0000,3.396400676759749,0.0,3.3964 ± 0.0000,-63.50024207571829,0.0,-63.5002 ± 0.0000,0.17153538771513882,0.0,0.1715 ± 0.0000,33.96400676759749,0.0,33.9640 ± 0.0000,33.96400676759749,0.0,33.9640 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,4.673826153250966,0.0,4.6738 ± 0.0000,17.121732231186225,0.0,17.1217 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.6049382716049383,0.0,0.6049 ± 0.0000,119.0,0.0,119.0000 ± 0.0000,0.595,0.0,0.5950 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,105,1,0.1812155763602326,0.0,0.1812 ± 0.0000,0.1812155763602326,0.0,0.1812 ± 0.0000,0.12410983189607389,0.0,0.1241 ± 0.0000,3.5738802862275327,0.0,3.5739 ± 0.0000,-56.07791553562197,0.0,-56.0779 ± 0.0000,0.18049900435492588,0.0,0.1805 ± 0.0000,35.73880286227533,0.0,35.7388 ± 0.0000,35.73880286227533,0.0,35.7388 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,4.008597385679943,0.0,4.0086 ± 0.0000,17.47941705483582,0.0,17.4794 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5903614457831325,0.0,0.5904 ± 0.0000,117.0,0.0,117.0000 ± 0.0000,0.585,0.0,0.5850 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,106,1,0.18662451691157345,0.0,0.1866 ± 0.0000,0.18662451691157345,0.0,0.1866 ± 0.0000,0.12911397947280012,0.0,0.1291 ± 0.0000,3.758504824950266,0.0,3.7585 ± 0.0000,-59.40288275742473,0.0,-59.4029 ± 0.0000,0.18982347600758917,0.0,0.1898 ± 0.0000,37.58504824950266,0.0,37.5850 ± 0.0000,37.58504824950266,0.0,37.5850 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,6.639873558515919,0.0,6.6399 ± 0.0000,17.658117396549805,0.0,17.6581 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.5833333333333334,0.0,0.5833 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,107,1,0.32360895718340277,0.0,0.3236 ± 0.0000,0.32360895718340277,0.0,0.3236 ± 0.0000,0.23701119647925345,0.0,0.2370 ± 0.0000,13.73211245359868,0.0,13.7321 ± 0.0000,144.64919133076498,0.0,144.6492 ± 0.0000,0.6935410330100342,0.0,0.6935 ± 0.0000,137.3211245359868,0.0,137.3211 ± 0.0000,137.3211245359868,0.0,137.3211 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,12.839975188811774,0.0,12.8400 ± 0.0000,22.164827668126197,0.0,22.1648 ± 0.0000,0.04705637220976665,0.0,0.0471 ± 0.0000,0.33,0.0,0.3300 ± 0.0000,73.0,0.0,73.0000 ± 0.0000,0.365,0.0,0.3650 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,58.0,0.0,58.0000 ± 0.0000,0.29,0.0,0.2900 ± 0.0000,94.0,0.0,94.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,108,1,0.27791471045420496,0.0,0.2779 ± 0.0000,0.27791471045420496,0.0,0.2779 ± 0.0000,0.19244547140108953,0.0,0.1924 ± 0.0000,11.565390196391125,0.0,11.5654 ± 0.0000,116.2918969127019,0.0,116.2919 ± 0.0000,0.5841106159793497,0.0,0.5841 ± 0.0000,115.65390196391124,0.0,115.6539 ± 0.0000,115.65390196391124,0.0,115.6539 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,9.476744053459301,0.0,9.4767 ± 0.0000,21.806634868661884,0.0,21.8066 ± 0.0000,0.0017934764936023938,0.0,0.0018 ± 0.0000,0.3802083333333333,0.0,0.3802 ± 0.0000,77.0,0.0,77.0000 ± 0.0000,0.385,0.0,0.3850 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,61.0,0.0,61.0000 ± 0.0000,0.305,0.0,0.3050 ± 0.0000,91.0,0.0,91.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,109,1,0.10765026906108688,0.0,0.1077 ± 0.0000,0.10765026906108688,0.0,0.1077 ± 0.0000,0.06572225661621366,0.0,0.0657 ± 0.0000,2.4777184233136302,0.0,2.4777 ± 0.0000,-55.73620078995158,0.0,-55.7362 ± 0.0000,0.12513729410674898,0.0,0.1251 ± 0.0000,24.777184233136303,0.0,24.7772 ± 0.0000,24.777184233136303,0.0,24.7772 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,5.8777207162986596,0.0,5.8777 ± 0.0000,14.746200717780171,0.0,14.7462 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.7246376811594203,0.0,0.7246 ± 0.0000,153.0,0.0,153.0000 ± 0.0000,0.765,0.0,0.7650 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
Ego-37302098399721,37302098399721,110,1,0.17732532364905945,0.0,0.1773 ± 0.0000,0.17732532364905945,0.0,0.1773 ± 0.0000,0.1222590641998785,0.0,0.1223 ± 0.0000,3.5538665782906627,0.0,3.5539 ± 0.0000,-60.41123293143138,0.0,-60.4112 ± 0.0000,0.1794882110247809,0.0,0.1795 ± 0.0000,35.53866578290663,0.0,35.5387 ± 0.0000,35.53866578290663,0.0,35.5387 ± 0.0000,200.0,0.0,200.0000 ± 0.0000,10.0,0.0,10.0000 ± 0.0000,5.380900294728068,0.0,5.3809 ± 0.0000,17.235602005664482,0.0,17.2356 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.6024096385542169,0.0,0.6024 ± 0.0000,117.0,0.0,117.0000 ± 0.0000,0.585,0.0,0.5850 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000
