,combined_efficiency,ego_lane_change_action_ratio,ego_lane_change_action_steps,ego_lane_change_success_steps,ego_overtake_success_steps,ego_route_distance_m,elapsed_steps,elapsed_time_s,episode_reward,front_slow_ratio,front_slow_steps,low_speed_ratio,max_speed,mean_speed,min_speed,progress_auc,route_completion,route_progress_m,route_speed_efficiency,safe_lane_change_opportunity_ratio,safe_lane_change_opportunity_steps,traffic_efficiency
model_label,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721,Ego-37302098399721
seed,,,,,,,,,,,,,,,,,,,,,,
101,0.3786889401845298,0.195,39,130,0,152.49509480845308,200,10.0,144.75410728898163,0.0,0,0.245,22.193377834279,12.519761941017187,0.07813348459817757,0.28461117523066226,0.7701772465073387,152.49509480845308,15.249509480845308,0.0,0,0.3786889401845298
102,0.37453529289921933,0.2,40,129,0,151.33933301060557,200,10.0,160.92278253950496,0.0,0,0.25,22.192735154975026,9.554817895182307,0.07813307081597513,0.2806691161240241,0.764340065710129,151.33933301060557,15.133933301060557,0.0,0,0.37453529289921933
103,0.37861258477853266,0.2,40,129,0,152.4549895312255,200,10.0,148.2467090539457,0.0,0,0.245,22.19329023338409,12.625967201469631,0.07813367105179012,0.28451573097316574,0.7699746946021488,152.4549895312255,15.24549895312255,0.0,0,0.37861258477853266
104,0.17436305793252083,0.0,0,0,0,33.96400676759749,200,10.0,-63.50024207571829,0.595,119,0.6049382716049383,17.121732231186225,4.673826153250966,0.0,0.11918839031688558,0.17153538771513882,33.96400676759749,3.396400676759749,0.0,0,0.17436305793252083
105,0.1812155763602326,0.0,0,0,0,35.73880286227533,200,10.0,-56.07791553562197,0.585,117,0.5903614457831325,17.47941705483582,4.008597385679943,0.0,0.12410983189607389,0.18049900435492588,35.73880286227533,3.5738802862275327,0.0,0,0.1812155763602326
106,0.18662451691157345,0.0,0,0,0,37.58504824950266,200,10.0,-59.40288275742473,0.0,0,0.5833333333333334,17.658117396549805,6.639873558515919,0.0,0.12911397947280012,0.18982347600758917,37.58504824950266,3.758504824950266,0.0,0,0.18662451691157345
107,0.32360895718340277,0.29,58,94,0,137.3211245359868,200,10.0,144.64919133076498,0.365,73,0.33,22.164827668126197,12.839975188811774,0.04705637220976665,0.23701119647925345,0.6935410330100342,137.3211245359868,13.73211245359868,0.0,0,0.32360895718340277
108,0.27791471045420496,0.305,61,91,0,115.65390196391124,200,10.0,116.2918969127019,0.385,77,0.3802083333333333,21.806634868661884,9.476744053459301,0.0017934764936023938,0.19244547140108953,0.5841106159793497,115.65390196391124,11.565390196391125,0.0,0,0.27791471045420496
109,0.10765026906108688,0.0,0,0,0,24.777184233136303,200,10.0,-55.73620078995158,0.765,153,0.7246376811594203,14.746200717780171,5.8777207162986596,0.0,0.06572225661621366,0.12513729410674898,24.777184233136303,2.4777184233136302,0.0,0,0.10765026906108688
110,0.17732532364905945,0.0,0,0,0,35.53866578290663,200,10.0,-60.41123293143138,0.585,117,0.6024096385542169,17.235602005664482,5.380900294728068,0.0,0.1222590641998785,0.1794882110247809,35.53866578290663,3.5538665782906627,0.0,0,0.17732532364905945
