Scenario,AdvObject,Behavior Description,Behavior Snippet,Geometry Description,Geometry Snippet,Spawn Description,Spawn Snippet,Success
The ego vehicle is driving on a straight road when a pedestrian suddenly crosses from the right front and suddenly stops as the ego vehicle approaches.,Pedestrian,The adversarial pedestrian suddenly crosses from the right front and abruptly stops as the ego vehicle approaches.,"behavior AdvBehavior():
    while (distance to self) > globalParameters.OPT_ADV_DISTANCE:
        wait
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, globalParameters.OPT_ADV_OFFSET) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    while True:
        take SetWalkingSpeedAction(0)

param OPT_ADV_SPEED = Range(0, 5)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_ADV_OFFSET = Range(0, 15)
param OPT_STOP_DISTANCE = Range(0, 1)",A straight road.,"Town = 'Town03'
# Selecting a straight lane section from the network
straightLaneSecs = []
for lane in network.lanes:
    for laneSec in lane.sections:
        if laneSec.isStraight:
            straightLaneSecs.append(laneSec)

egoLaneSec = Uniform(*straightLaneSecs)
egoSpawnPt = OrientedPoint in egoLaneSec.centerline

# Ego vehicle setup
ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent spawns from the right front of the ego vehicle on the sidewalk, then steps directly into the ego’s path on the same straight road.","param OPT_GEO_X_DISTANCE = Range(2, 8)
param OPT_GEO_Y_DISTANCE = Range(15, 50)

IntSpawnPt = OrientedPoint following roadDirection from egoSpawnPt for globalParameters.OPT_GEO_Y_DISTANCE
AdvAgent = {AdvObject} right of IntSpawnPt by globalParameters.OPT_GEO_X_DISTANCE,
    with heading IntSpawnPt.heading,  # Heading aligned with road (to step directly into path)
    with regionContainedIn None,
    with behavior AdvBehavior()",1
"The ego vehicle is driving on a straight road; the adversarial pedestrian stands behind a bus stop on the right front, then suddenly sprints out onto the road in front of the ego vehicle and stops.",Pedestrian,The adversarial pedestrian suddenly sprints from behind the bus stop onto the road directly in front of the ego vehicle and comes to an abrupt stop.,"behavior AdvBehavior():
    while (distance to self) > globalParameters.OPT_ADV_DISTANCE:
        wait
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, 0) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    take SetWalkingSpeedAction(0)

param OPT_ADV_SPEED = Range(3, 7)
param OPT_ADV_DISTANCE = Range(5, 25)
param OPT_STOP_DISTANCE = Range(0, 1)",A straight road.,"Town = 'Town03'
# Selecting a straight road segment (lane section with negligible curvature)
straightLaneSections = []
for lane in network.lanes:
    for laneSec in lane.sections:
        if laneSec.curvature < 0.001:  # Approximate straightness
            straightLaneSections.append(laneSec)

egoLaneSec = Uniform(*straightLaneSections)
egoSpawnPt = OrientedPoint in egoLaneSec.centerline

# Ego vehicle setup
ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent is initially standing behind a bus stop on the right front of the ego vehicle on the same straight road, then emerges into the ego’s path.","param OPT_GEO_BLOCKER_X_DISTANCE = Range(2, 8)
param OPT_GEO_BLOCKER_Y_DISTANCE = Range(15, 50)
param OPT_GEO_X_DISTANCE = Range(-2, 2)
param OPT_GEO_Y_DISTANCE = Range(2, 6)

IntSpawnPt = OrientedPoint following roadDirection from egoSpawnPt for globalParameters.OPT_GEO_BLOCKER_Y_DISTANCE
Blocker = BusStop right of IntSpawnPt by globalParameters.OPT_GEO_BLOCKER_X_DISTANCE,
    with heading IntSpawnPt.heading,
    with regionContainedIn None
    
SHIFT = globalParameters.OPT_GEO_X_DISTANCE @ globalParameters.OPT_GEO_Y_DISTANCE
AdvAgent = {AdvObject} at Blocker offset along IntSpawnPt.heading by SHIFT,
    with heading IntSpawnPt.heading + 90 deg,
    with regionContainedIn None,
    with behavior AdvBehavior()",1
"The ego vehicle is driving on a straight road; the adversarial pedestrian is hidden behind a vending machine on the right front, and abruptly dashes out onto the road, and stops directly in the path of the ego.",Pedestrian,The adversarial pedestrian abruptly dashes out from behind the obstruction and stops directly in the path of the ego vehicle.,"behavior AdvBehavior():
    while (distance from self to egoTrajectory) > globalParameters.OPT_ADV_DISTANCE:
        wait
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, 0) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    take SetWalkingSpeedAction(0)

param OPT_ADV_SPEED = Range(0, 5)
param OPT_ADV_DISTANCE = Range(0, 20)
param OPT_STOP_DISTANCE = Range(0, 1)",A straight road.,"Town = 'Town03'
# Selecting a random lane section from the network for a straight road
egoLaneSec = Uniform(*network.laneSections)
egoSpawnPt = OrientedPoint in egoLaneSec.centerline

# Ego vehicle setup
ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent is hidden behind a vending machine on the right front of the ego vehicle on the same straight road, then emerges into the ego’s travel lane.","param OPT_GEO_BLOCKER_X_DISTANCE = Range(2, 8)
param OPT_GEO_BLOCKER_Y_DISTANCE = Range(15, 50)
param OPT_GEO_X_DISTANCE = Range(-2, 2)
param OPT_GEO_Y_DISTANCE = Range(2, 6)

RightFrontSpawnPt = OrientedPoint following roadDirection from egoSpawnPt for globalParameters.OPT_GEO_BLOCKER_Y_DISTANCE
Blocker = VendingMachine right of RightFrontSpawnPt by globalParameters.OPT_GEO_BLOCKER_X_DISTANCE,
    with heading RightFrontSpawnPt.heading,
    with regionContainedIn None

SHIFT = globalParameters.OPT_GEO_X_DISTANCE @ globalParameters.OPT_GEO_Y_DISTANCE
AdvAgent = {AdvObject} at Blocker offset along RightFrontSpawnPt.heading by SHIFT,
    with heading RightFrontSpawnPt.heading + 90 deg,
    with regionContainedIn None,
    with behavior AdvBehavior()",1
The ego vehicle is driving on a straight road; the adversarial pedestrian appears from a driveway on the left and suddenly stop and walk diagonally.,Pedestrian,"The adversarial pedestrian suddenly emerges from a driveway on the left and walks diagonally across the road, coming to an abrupt stop.","behavior AdvBehavior():
    direction = self.heading + globalParameters.OPT_ADV_DEGREE deg
    while (distance to self) > globalParameters.OPT_ADV_DISTANCE:
        wait
    while True:
        take SetWalkingDirectionAction(direction)
        take SetWalkingSpeedAction(globalParameters.OPT_ADV_SPEED) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
        take SetWalkingSpeedAction(0)

param OPT_ADV_SPEED = Range(0, 5)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_ADV_DEGREE = Range(-90, 90)
param OPT_STOP_DISTANCE = Range(0, 1)",A straight road.,"Town = 'Town03'
# Selecting a straight road segment (lane section with negligible curvature)
straightLaneSections = []
for lane in network.lanes:
    for laneSec in lane.sections:
        if laneSec.centerline.isStraight:
            straightLaneSections.append(laneSec)

egoLaneSec = Uniform(*straightLaneSections)
egoSpawnPt = OrientedPoint in egoLaneSec.centerline

# Ego vehicle setup
ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent spawns from a driveway on the left front of the ego vehicle on the same straight road, with no explicit obstruction mentioned.","param OPT_GEO_X_DISTANCE = Range(-15, -5)  # Left side, offset from road edge into driveway
param OPT_GEO_Y_DISTANCE = Range(10, 40)

# Get the left roadside (driveway access point) — use lane’s left boundary or adjacent sidewalk/driveway region
# In Scenic 2.1, driveways are typically modeled as regions adjacent to road; we approximate via offset left of ego’s lane centerline
egoLane = network.laneSectionAt(egoSpawnPt)._lane
leftBoundary = egoLane.leftEdge
# Project a point forward along road direction, then offset perpendicularly left into driveway
IntSpawnPt = OrientedPoint following roadDirection from egoSpawnPt for globalParameters.OPT_GEO_Y_DISTANCE
drivewayOffset = Vector(leftBoundary.offsetDirection * globalParameters.OPT_GEO_X_DISTANCE)
drivewaySpawnPos = IntSpawnPt.position + drivewayOffset

AdvAgent = {AdvObject} at drivewaySpawnPos,
    with heading IntSpawnPt.heading,  # Driveway agent typically enters road aligned with road direction
    with regionContainedIn None,
    with behavior AdvBehavior()",1
The ego vehicle is driving on a straight road; the adversarial pedestrian suddenly appears from behind a parked car on the right front and suddenly stop.,Pedestrian,The adversarial pedestrian suddenly appears from behind a parked car and stops abruptly in front of the ego vehicle.,"behavior AdvBehavior():
    while (distance to self) > globalParameters.OPT_ADV_DISTANCE:
        wait
    take SetPositionAction(ego.position + (globalParameters.OPT_APPEAR_OFFSET perpendicular to ego.heading) + (globalParameters.OPT_APPEAR_DISTANCE forward from ego.position))
    take SetWalkingSpeedAction(0)

param OPT_ADV_DISTANCE = Range(0, 30)
param OPT_APPEAR_OFFSET = Range(-2, 2)  # lateral offset relative to ego's heading (meters)
param OPT_APPEAR_DISTANCE = Range(5, 15)  # distance ahead of ego where pedestrian appears (meters)",A straight road.,"Town = 'Town03'
# Selecting a straight road segment (lane section with approximately zero curvature)
straightLaneSections = []
for lane in network.lanes:
    for laneSec in lane.sections:
        # In Scenic 2.1, we rely on geometric properties; `isStraight` is not available,
        # but we can use the fact that straight sections have no curvature —
        # CARLA's network exposes `curvature`, and Scenic 2.1 allows filtering on it.
        if abs(laneSec.curvature) < 0.001:
            straightLaneSections.append(laneSec)

egoLaneSec = Uniform(*straightLaneSections)
egoSpawnPt = OrientedPoint in egoLaneSec.centerline

# Ego vehicle setup
ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL",The adversarial agent spawns from behind a parked car on the right front of the ego vehicle on the same straight road.,"param OPT_GEO_BLOCKER_X_DISTANCE = Range(2, 8)
param OPT_GEO_BLOCKER_Y_DISTANCE = Range(15, 50)
param OPT_GEO_X_DISTANCE = Range(-2, 2)
param OPT_GEO_Y_DISTANCE = Range(2, 6)

IntSpawnPt = OrientedPoint following roadDirection from egoSpawnPt for globalParameters.OPT_GEO_BLOCKER_Y_DISTANCE
Blocker = Car right of IntSpawnPt by globalParameters.OPT_GEO_BLOCKER_X_DISTANCE,
    with heading IntSpawnPt.heading,
    with regionContainedIn None
    
SHIFT = globalParameters.OPT_GEO_X_DISTANCE @ globalParameters.OPT_GEO_Y_DISTANCE
AdvAgent = {AdvObject} at Blocker offset along IntSpawnPt.heading by SHIFT,
    with heading IntSpawnPt.heading + 90 deg,
    with regionContainedIn None,
    with behavior AdvBehavior()",1
"The ego vehicle is turning left at an intersection; the adversarial motorcyclist on the right front pretends to cross the road but brakes abruptly at the edge of the road, causing confusion.",Motorcycle,"The adversarial motorcyclist pretends to cross the road but abruptly brakes at the edge of the road, causing confusion to the ego vehicle.","behavior AdvBehavior():
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, globalParameters.OPT_ADV_DISTANCE) until (distance from self to egoTrajectory) < globalParameters.OPT_BRAKE_DISTANCE
    while True:
        take SetBrakeAction(globalParameters.OPT_BRAKE)

param OPT_ADV_SPEED = Range(0, 10)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_BRAKE_DISTANCE = Range(0, 1)
param OPT_BRAKE = Range(0, 1)",The ego vehicle is turning left at a four-way intersection.,"Town = 'Town05'
intersection = Uniform(*filter(lambda i: i.is4Way, network.intersections))
egoManeuver = Uniform(*filter(lambda m: m.type is ManeuverType.LEFT_TURN, intersection.maneuvers))
egoInitLane = egoManeuver.startLane
egoTrajectory = [egoInitLane, egoManeuver.connectingLane, egoManeuver.endLane]
egoSpawnPt = OrientedPoint in egoInitLane.centerline

ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL",The adversarial agent is located on the right front of the ego vehicle—just before the intersection’s crosswalk or road edge—on the same side as the ego’s intended turning path.,"param OPT_GEO_X_DISTANCE = Range(1, 6)
param OPT_GEO_Y_DISTANCE = Range(5, 20)

# Locate a point just before the intersection: move forward along ego's lane to near road edge / crosswalk start
IntSpawnPt = OrientedPoint following roadDirection from egoSpawnPt for globalParameters.OPT_GEO_Y_DISTANCE
# Offset right to place adversarial agent on the right front, aligned with ego's intended turning path (e.g., right-turn lane or shoulder)
AdvAgent = {AdvObject} right of IntSpawnPt by globalParameters.OPT_GEO_X_DISTANCE,
    with heading IntSpawnPt.heading - 90 deg,  # Face perpendicular into crossing (rightward relative to ego's forward direction)
    with regionContainedIn None,
    with behavior AdvBehavior()",1
The ego vehicle is turning left at an intersection; the adversarial pedestrian on the opposite sidewalk suddenly crosses the road from the right front and stops in the middle of the intersection.,Pedestrian,The adversarial pedestrian suddenly crosses the road from the right front and stops in the middle of the intersection.,"behavior AdvBehavior():
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, globalParameters.OPT_ADV_DISTANCE) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    while True:
        take SetWalkingSpeedAction(0)

param OPT_ADV_SPEED = Range(0, 5)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_STOP_DISTANCE = Range(0, 1)",The ego vehicle is turning left at a four-way intersection.,"Town = 'Town05'
intersection = Uniform(*filter(lambda i: i.is4Way, network.intersections))
egoManeuver = Uniform(*filter(lambda m: m.type is ManeuverType.LEFT_TURN, intersection.maneuvers))
egoInitLane = egoManeuver.startLane
egoTrajectory = [egoInitLane, egoManeuver.connectingLane, egoManeuver.endLane]
egoSpawnPt = OrientedPoint in egoInitLane.centerline

ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent is initially on the opposite sidewalk (relative to the ego’s turning direction), then spawns into the crosswalk from the right front of the ego vehicle, entering the intersection mid-turn.","param OPT_GEO_X_DISTANCE = Range(2, 8)   # distance forward along ego's heading (into intersection)
param OPT_GEO_Y_DISTANCE = Range(-3, 3)  # lateral offset to align with crosswalk entry point

-- Get the ego's start lane and its orientation at the end (approaching intersection)
IntSpawnPt = egoManeuver.startLane.centerline.end

-- Offset into the intersection: forward along ego's heading (to reach crosswalk entry),
-- then laterally to position on the right side of the ego's path (i.e., right front relative to ego)
SHIFT = globalParameters.OPT_GEO_X_DISTANCE @ globalParameters.OPT_GEO_Y_DISTANCE

-- Adversarial agent enters from opposite sidewalk → heading should be perpendicular to ego's,
-- crossing *into* the intersection — i.e., aligned with crosswalk direction.
-- Since it spawns from right front and crosses mid-turn, its heading should be ~90 deg left of ego's
-- (to walk across the road the ego is turning into), but we assume crosswalk is orthogonal to ego's lane.
-- Use ego's heading + 90 deg for crossing *from right*, i.e., moving leftward across ego's path.
AdvAgent = {AdvObject} at IntSpawnPt offset along IntSpawnPt.heading by SHIFT,
    with heading IntSpawnPt.heading + 90 deg,
    with regionContainedIn None,
    with behavior AdvBehavior()",1
The ego vehicle is turning right at an intersection; the adversarial motorcyclist on the opposite sidewalk abruptly crosses the road from the right front and comes to a halt in the center of the intersection.,Motorcycle,The adversarial motorcyclist abruptly crosses the road from the right front and comes to a halt in the center of the intersection.,"behavior AdvBehavior():
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, globalParameters.OPT_ADV_DISTANCE) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    while True:
        take SetSpeedAction(0)

param OPT_ADV_SPEED = Range(0, 10)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_STOP_DISTANCE = Range(0, 1)",A four-way intersection.,"Town = 'Town05'
intersection = Uniform(*filter(lambda i: i.is4Way, network.intersections))","The adversarial agent is initially on the opposite sidewalk to the right front of the ego vehicle, then enters the intersection crossing the ego’s path.","param OPT_GEO_X_DISTANCE = Range(2, 8)
param OPT_GEO_Y_DISTANCE = Range(-5, 5)

IntSpawnPt = egoManeuver.startLane.centerline.end
SHIFT = globalParameters.OPT_GEO_X_DISTANCE @ globalParameters.OPT_GEO_Y_DISTANCE
AdvAgent = {AdvObject} at IntSpawnPt offset along IntSpawnPt.heading by SHIFT,
    with heading IntSpawnPt.heading + 90 deg,
    with regionContainedIn None,
    with behavior AdvBehavior()",1
"The ego vehicle is turning right at an intersection; the adversarial pedestrian on the left front suddenly crosses the road and stops in the middle of the intersection, blocking the ego vehicle's path.",Pedestrian,"The adversarial pedestrian suddenly crosses the road and stops in the middle of the intersection, blocking the ego vehicle's path.","behavior AdvBehavior():
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, globalParameters.OPT_ADV_DISTANCE) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    while True:
        take SetWalkingSpeedAction(0)

param OPT_ADV_SPEED = Range(0, 5)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_STOP_DISTANCE = Range(0, 1)",The ego vehicle is turning right at a four-way intersection.,"Town = 'Town05'
intersection = Uniform(*filter(lambda i: i.is4Way, network.intersections))
egoManeuver = Uniform(*filter(lambda m: m.type is ManeuverType.RIGHT_TURN, intersection.maneuvers))
egoInitLane = egoManeuver.startLane
egoTrajectory = [egoInitLane, egoManeuver.connectingLane, egoManeuver.endLane]
egoSpawnPt = OrientedPoint in egoInitLane.centerline

ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent is on the left front of the ego vehicle, initially on the sidewalk or crosswalk approaching from the left side of the intersection.","param OPT_GEO_X_DISTANCE = Range(-8, -2)  # Offset leftward from centerline (sidewalk/crosswalk side)
param OPT_GEO_Y_DISTANCE = Range(-5, 15)   # Forward along centerline, covering zebra crossing / intersection approach

IntSpawnPt = egoManeuver.endLane.centerline.start  # Start of end lane — typically aligns with intersection entry / crosswalk
SHIFT = globalParameters.OPT_GEO_X_DISTANCE @ globalParameters.OPT_GEO_Y_DISTANCE
AdvAgent = {AdvObject} at IntSpawnPt offset along IntSpawnPt.heading by SHIFT,
    with heading IntSpawnPt.heading - 90 deg,  # Facing across lane (i.e., crossing from left)
    with regionContainedIn None,
    with behavior AdvBehavior()",1
"The ego vehicle is turning left at an intersection; the adversarial cyclist on the left front suddenly stops in the middle of the intersection and dismounts, obstructing the ego vehicle's path.",Bicycle,"The adversarial cyclist suddenly stops in the middle of the intersection and dismounts, obstructing the ego vehicle's path.","behavior AdvBehavior():
    do CrossingBehavior(ego, globalParameters.OPT_ADV_SPEED, globalParameters.OPT_ADV_DISTANCE) until (distance from self to egoTrajectory) < globalParameters.OPT_STOP_DISTANCE
    while True:
        take SetSpeedAction(0)
    take DismountAction()

param OPT_ADV_SPEED = Range(0, 10)
param OPT_ADV_DISTANCE = Range(0, 15)
param OPT_STOP_DISTANCE = Range(0, 1)",The ego vehicle is turning left at a four-way intersection.,"Town = 'Town05'
intersection = Uniform(*filter(lambda i: i.is4Way, network.intersections))
egoManeuver = Uniform(*filter(lambda m: m.type is ManeuverType.LEFT_TURN, intersection.maneuvers))
egoInitLane = egoManeuver.startLane
egoTrajectory = [egoInitLane, egoManeuver.connectingLane, egoManeuver.endLane]
egoSpawnPt = OrientedPoint in egoInitLane.centerline

ego = Car at egoSpawnPt,
    with regionContainedIn None,
    with blueprint EGO_MODEL","The adversarial agent is located on the left front of the ego vehicle, entering or already within the intersection from the left approach lane.","# Identifying the left approach lane to the intersection (i.e., the lane that connects to the ego's current lane from the left, typically orthogonal or at an angle)
param OPT_GEO_X_DISTANCE = Range(-10, -2)   # lateral offset toward left approach
param OPT_GEO_Y_DISTANCE = Range(5, 25)      # longitudinal distance ahead along left approach

# Get the lane to the left of ego's current lane section — but for intersection entry, we prefer the *incoming* left-approach lane
# Since Scenic 2.1 does not expose direct ""intersection incoming lanes"", we use the left-adjacent lane section *at the intersection entrance*
# First, get ego's current lane section and its left neighbor; then project forward along that left neighbor's centerline
advLane = network.laneSectionAt(ego)._laneToLeft.lane
# Spawn point offset along advLane’s centerline, starting from where it aligns with ego’s position laterally
IntSpawnPt = OrientedPoint following advLane.heading from egoSpawnPt for globalParameters.OPT_GEO_Y_DISTANCE
projectPt = Vector(*advLane.centerline.project(IntSpawnPt.position).coords[0])
advHeading = advLane.orientation[projectPt]

# Spawn the Adversarial Agent entering or already within the intersection from the left approach lane
AdvAgent = {AdvObject} at projectPt,
    with heading advHeading,
    with regionContainedIn None,
    with behavior AdvBehavior()",1
